date,Date,arrivals,departures
1/12/2015,12/01/2015,1584200,1853170
1/01/2016,1/01/2016,1908270,1635880
1/02/2016,2/01/2016,1560130,1367240
1/03/2016,3/01/2016,1479930,1540790
1/04/2016,4/01/2016,1473700,1493250
1/05/2016,5/01/2016,1304820,1387400
1/06/2016,6/01/2016,1326820,1580220
1/07/2016,7/01/2016,1829100,1574310
1/08/2016,8/01/2016,1511510,1546190
1/09/2016,9/01/2016,1587330,1601950
1/10/2016,10/01/2016,1778870,1502290
1/11/2016,11/01/2016,1512920,1544640
1/12/2016,12/01/2016,1716250,1992710
1/01/2017,1/01/2017,2066340,1781220
1/02/2017,2/01/2017,1631360,1393200
1/03/2017,3/01/2017,1522680,1576240
1/04/2017,4/01/2017,1649770,1705020
1/05/2017,5/01/2017,1401070,1492580
1/06/2017,6/01/2017,1421130,1672190
1/07/2017,7/01/2017,1909100,1652280
1/08/2017,8/01/2017,1623620,1657720
1/09/2017,9/01/2017,1666150,1701600
1/10/2017,10/01/2017,1879610,1568390
1/11/2017,11/01/2017,1602190,1638140
1/12/2017,12/01/2017,1755130,2082840
1/01/2018,1/01/2018,2130700,1809210
1/02/2018,2/01/2018,1729160,1515400
1/03/2018,3/01/2018,1682320,1743090
1/04/2018,4/01/2018,1668310,1715000
1/05/2018,5/01/2018,1480380,1556600
1/06/2018,6/01/2018,1513000,1785860
1/07/2018,7/01/2018,2009860,1725790
1/08/2018,8/01/2018,1718580,1765100
1/09/2018,9/01/2018,1721970,1755060
1/10/2018,10/01/2018,1963730,1639940
1/11/2018,11/01/2018,1667980,1715150
1/12/2018,12/01/2018,1853600,2184290
1/01/2019,1/01/2019,2217890,1905430
1/02/2019,2/01/2019,1788430,1521730
1/03/2019,3/01/2019,1660140,1684320
1/04/2019,4/01/2019,1674400,1828640
1/05/2019,5/01/2019,1587870,1632790
1/06/2019,6/01/2019,1562130,1800580
1/07/2019,7/01/2019,2008780,1757440
1/08/2019,8/01/2019,1782670,1809670
1/09/2019,9/01/2019,1746100,1796540
1/10/2019,10/01/2019,1979190,1678790
1/11/2019,11/01/2019,1721900,1743220
